c_date_call,option_symbol_call,dte_call,stocks_id_call,expiration_date,call_put_call,price_strike,price_open_call,price_high_call,price_low_call,price_call,volume_call,openinterest_call,iv_call,delta_call,preiv_call,gamma_call,theta_call,vega_call,rho_call,Ask_call,Bid_call,underlying_price_call,calc_OTM_call,option_id_call,is_settlement_call,c_date_put,option_symbol_put,dte_put,stocks_id_put,call_put_put,price_open_put,price_high_put,price_low_put,price_put,volume_put,openinterest_put,iv_put,delta_put,preiv_put,gamma_put,theta_put,vega_put,rho_put,Ask_put,Bid_put,underlying_price_put,calc_OTM_put,option_id_put,is_settlement_put,vol_weighted,delta_diff
2021-12-01,AAPL  211210C00165000,9,799,2021-12-10,C,165.0,4.8,6.9,3.41,3.55,40216,36948,0.354605,0.501253,0.354605,0.043482,-0.203517,0.103219,0.01949,3.6,3.5,164.77,0.14,117642409,0,2021-12-01,AAPL  211210P00165000,9,799,P,2.38,3.91,1.58,3.9,30442,4099,0.366189,-0.498083,0.366189,0.042282,-0.210678,0.103249,-0.019045,3.95,3.85,164.77,-0.14,117642410,0,0.360382485248,
2021-12-01,AAPL  211217C00162500,16,799,2021-12-17,C,162.5,7.28,9.45,5.78,5.825,10333,7875,0.336463,0.591994,0.336463,0.033452,-0.141055,0.133951,0.040205,5.9,5.75,164.77,-1.38,118048513,0,2021-12-01,AAPL  211217P00162500,16,799,P,2.24,3.75,1.71,3.7,8754,3624,0.347576,-0.409929,0.347576,0.032571,-0.146176,0.135199,-0.028321,3.75,3.65,164.77,1.38,118048514,0,0.340997170678,
2021-12-01,AAPL  211217C00165000,16,799,2021-12-17,C,165.0,5.5,7.65,4.3,4.5,34515,41715,0.334884,0.50626,0.334884,0.034528,-0.144193,0.137609,0.034594,4.6,4.4,164.77,0.14,115343547,0,2021-12-01,AAPL  211217P00165000,16,799,P,3.1,4.8,2.32,4.7749996,17554,17830,0.338308,-0.493541,0.338308,0.034327,-0.145914,0.137634,-0.033693,4.85,4.7,164.77,-0.14,115343548,0,0.33657456576,
2021-12-01,AAPL  211223C00162500,22,799,2021-12-23,C,162.5,7.65,9.85,6.45,5.65,1928,2722,0.275689,0.594679,0.275689,0.03476,-0.09848,0.156815,0.055654,7.3,4.0,164.77,-1.38,117880801,0,2021-12-01,AAPL  211223P00162500,22,799,P,2.62,4.2,2.16,3.35,306,1364,0.275689,-0.405244,-1.0,0.034929,-0.09856,0.15642,-0.038256,4.7,2.0,164.77,1.38,117880802,0,0.275689,
2021-12-01,AAPL  211223C00165000,22,799,2021-12-23,C,165.0,5.9,8.15,4.9,5.25,5429,7378,0.331992,0.509693,0.331992,0.029697,-0.121923,0.161334,0.047455,5.45,5.05,164.77,0.14,117726793,0,2021-12-01,AAPL  211223P00165000,22,799,P,3.95,5.5,2.83,5.2,2544,1054,0.314926,-0.491532,0.314926,0.031447,-0.115783,0.161369,-0.046159,5.5,4.9,164.77,-0.14,117726794,0,0.323624420738,
2021-12-01,AAPL  211231C00162500,30,799,2021-12-31,C,162.5,8.2,10.5,7.05,7.25,2527,3024,0.322867,0.578086,0.322867,0.025655,-0.09969,0.184831,0.07233,9.5,5.0,164.77,-1.38,117880811,0,2021-12-01,AAPL  211231P00162500,30,799,P,3.15,4.95,2.67,3.9,501,1738,0.264784,-0.412229,0.264784,0.031259,-0.081319,0.185098,-0.052986,5.1,2.7,164.77,1.38,117880812,0,0.29836096913800003,
2021-12-01,AAPL  211231C00165000,30,799,2021-12-31,C,165.0,6.66,8.75,5.65,5.675,7709,10451,0.306758,0.511568,0.306758,0.027519,-0.096514,0.188373,0.064616,5.85,5.5,164.77,0.14,117821589,0,2021-12-01,AAPL  211231P00165000,30,799,P,4.35,6.15,3.37,5.875,2690,1167,0.305612,-0.488567,0.305612,0.027748,-0.096161,0.188394,-0.062798,6.25,5.5,164.77,-0.14,117821590,0,0.30619825692799996,
2021-12-02,AAPL  211203C00165000,1,799,2021-12-03,C,165.0,0.31,0.9,0.18,0.77,454946,42048,0.377761,0.355126,0.377761,0.11499,-0.602942,0.031915,0.001572,0.8,0.74,163.76,0.76,117579225,0,2021-12-02,AAPL  211203P00165000,1,799,P,6.5,7.62,1.69,1.97,75103,34070,0.365248,-0.650084,0.365248,0.118854,-0.582251,0.032318,-0.002632,2.24,1.7,163.76,-0.76,117579226,0,0.369691691638,0.105126
2021-12-02,AAPL  211203C00162500,1,799,2021-12-03,C,162.5,0.67,2.37,0.46,2.015,272888,27296,0.378093,0.655529,0.378093,0.11362,-0.596912,0.031563,0.002886,2.2,1.83,163.76,-0.77,117869237,0,2021-12-02,AAPL  211203P00162500,1,799,P,4.95,5.08,0.7,0.78,114125,26389,0.385873,-0.347144,0.385873,0.112122,-0.613173,0.032069,-0.001469,0.81,0.75,163.76,0.77,117869238,0,0.38077298438,0.40552900000000003
2021-12-02,AAPL  211210C00170000,8,799,2021-12-10,C,170.0,0.5,0.95,0.41,0.87,115880,38577,0.306151,0.211264,0.306151,0.038966,-0.134239,0.070118,0.007392,0.93,0.81,163.76,3.81,117642411,0,2021-12-02,AAPL  211210P00170000,8,799,P,11.65,12.45,6.79,7.075,2409,4456,0.301298,-0.792943,0.301298,0.039262,-0.130645,0.068669,-0.024235,7.6,6.55,163.76,-3.81,117642412,0,0.302323264192,0.03873599999999999
